theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  134663. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
